,en,es
BED_MESSAGE,This is my bed. I like sleeping with my tummy full and a cozy fire.,Esta es mi cama. Me gusta dormir con la barriguita llena al calor de la hoguera.
DIG_MESSAGE,One day I'll dig a hole big enough to escape from this nightmare,Un día cavaré un hoyo suficientemente grande y escaparé de esta pesadilla.
DIE_MESSAGE,The night has fallen. You were not in a safe place. You are lost forever,La noche ha llegado. No estabas en un lugar seguro. Nunca podrás volver a casa.
RESOURCES_KEY,Resources:,Recursos:
HOME_MESSAGE,This is my home. It's the only place I can be safe from the night,Este es mi hogar. Es el único lugar donde estoy a salvo de la noche.
SHINY_DAY,A bright day begins,Comienza un nuevo día
DIGGING_ACTION,The shovel struck the earth with a thud. One step closer to freedom,La pala golpeó con fuerza el suelo. Un paso más cerca de la libertad
SLEEPING_ACTION,Zzz Zzz,Zzz Zzz
SETTINGS_TITLE,Settings,Opciones
LANGUAGE_TITLE,Language,Idioma
SPANISH_KEY,Español,Español
ENGLISH_KEY,English,English
MUSIC_KEY,Music Volume,Volúmen de música
FX_KEY,SFX Volume,Volúmen de efectos
BACK_KEY,Back,Volver
CREDITS,A game developed for the #IndieSpainJam23 using Godot <3 for the very first time. Thanks for playing!,Un juego desarrollado para la #IndieSpainJam23 usando Godot <3 por primera vez. ¡Gracias por jugar!
CONTACT,@RothioTome,@RothioTome
VICTORY_MESSAGE,Congratulations! You found your way out in %d days; %d hours and %d minutes. You got hit %d times, ¡Enhorabuena! Conseguiste escapar en %d días; %d horas y %d minutos. Te golpearon un total de %d veces.
PLAY_TITLE,Play,Jugar
CREDITS_TITLE, Credits, Créditos